ALWNC_DE,ALWNC_RESN,BSI_INT,ENG_RN,MVMN_DE,MVMN_RESN,MVM_RES_CD,NTFC_DE,OPERT_DE,RBP_CN,RDS_DPN_SE,RDS_MAN_NO,REP_CN,RN,RN_CD,ROAD_BT,ROAD_LT,ROA_CLS_SE,SIG_CD,WDR_RD_CD
20100520,디지털로에서 분기되는 도로로 해당 일련번호 활용,10,Digital-ro 38-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224646,대림동 1082-15,1,499,대림동 992-20,디지털로38길,4154366,4.00000000,48.00000000,4,11560,3
20100520,가마산로에서 분기되는 도로로 해당 일련번호 활용,21,Gamasan-ro 61-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224641,신길동 349-20,1,1932,신길동 296-12,가마산로61길,4154019,7.00000000,12.00000000,4,11560,3
20100520,신길로에서 분기되는 도로로 해당 일련번호 활용,19,Singil-ro 41na-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224648,신길동 276,1,500,신길동 272-3,신길로41나길,4154531,4.00000000,40.00000000,4,11560,3
20100520,신길동 동명칭 인용,20,Singil-ro,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224647,대림동 948-1,1,501,영등포동1가 96-4,신길로,3118014,25.00000000,25.00000000,3,11560,3
20100520,여의대로에서 분기되는 도로로 해당 일련번호 활용,22,Yeoui-daero 2-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224649,여의도동 27,0,502,여의도동 27-2,여의대로2길,4154828,26.00000000,342.00000000,4,11560,3
20100520,영등포동 중앙을 통과하는 도로,20,Yeongjung-ro,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224651,영등포동4가 425-2,1,1934,영등포동8가 86,영중로,3118024,6.00000000,74.00000000,3,11560,3
20100520,신풍로에서 분기되는 도로로 해당 일련번호 활용,21,Sinpung-ro 19ga-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224648,신길동 1537,0,1936,신길동 1447,신풍로19가길,4154576,4.00000000,201.00000000,4,11560,3
20100520,가마산로에서 분기되는 도로로 해당 일련번호 활용,21,Gamasan-ro 61-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224641,신길동 349-20,1,110,신길동 296-12,가마산로61길,4154019,7.00000000,68.00000000,4,11560,3
20100520,여의나루로에서 분기되는 도로로 해당 일련번호 활용,21,Yeouinaru-ro 4-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224649,여의도동 35-1,0,1514,여의도동 34-8,여의나루로4길,4154641,20.00000000,322.00000000,4,11560,3
20100520,영등포로에서 분기되는 도로로 해당 일련번호 활용,20,Yeongdeungpo-ro 62na-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224650,신길동 47-26,1,3296,신길동 32-6,영등포로62나길,4154736,2.00000000,83.00000000,4,11560,3
20100520,가마산로에서 분기되는 도로로 해당 일련번호 활용,19,Gamasan-ro 79ga-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224641,신길동 140-27,1,1515,신길동 141-12,가마산로79가길,4154030,4.00000000,77.00000000,4,11560,3
20100520,도신로에서 분기되는 도로로 해당 일련번호 활용,22,Dosin-ro 64-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224645,신길동 110-46,0,3297,신길동 91-36,도신로64길,4154349,8.00000000,295.00000000,4,11560,3
20100520,영등포로에서 분기되는 도로로 해당 일련번호 활용,22,Yeongdeungpo-ro 64-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224650,신길동 171-9,1,3298,신길동 186-342,영등포로64길,4154739,2.00000000,97.00000000,4,11560,3
20100520,도림로에서 분기되는 도로로 해당 일련번호 활용,19,Dorim-ro 113ga-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224644,도림동 236,1,3299,도림동 237-42,도림로113가길,4154217,3.00000000,31.00000000,4,11560,3
20100520,선유서로에서 분기되는 도로로 해당 일련번호 활용,20,Seonyuseo-ro 26-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224647,양평동1가 258,0,1520,양평동1가 216-2,선유서로26길,4154469,8.00000000,296.00000000,4,11560,3
20100520,도림로에서 분기되는 도로로 해당 일련번호 활용,20,Dorim-ro 113na-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224644,도림동 234-2,1,3300,도림동 233-7,도림로113나길,4154219,3.00000000,62.00000000,4,11560,3
20100520,도림천로에서 분기되는 도로로 해당 일련번호 활용,18,Dorimcheon-ro 11-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224645,대림동 1116-16,1,1521,대림동 705-3,도림천로11길,4154297,5.00000000,58.00000000,4,11560,3
20100520,도림로에서 분기되는 도로로 해당 일련번호 활용,19,Dorim-ro 113ga-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224644,도림동 236,1,3302,도림동 237-42,도림로113가길,4154217,4.00000000,33.00000000,4,11560,3
20100520,신길로에서 분기되는 도로로 해당 일련번호 활용,21,Singil-ro 17-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224647,신길동 446-3,1,447,신길동 435-20,신길로17길,4154494,15.00000000,20.00000000,4,11560,3
20100419,도로구간 내 국회의사당이 위치한 지역특징 인용,20,Gukhoe-daero,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100422,20141030224636,양평동3가 57-5,1,1876,여의도동 83-2,국회대로,2005008,3.00000000,10200.00000000,2,11560,2
20090710,가마고지라는 옛지명 활용,20,Gamasan-ro,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20090710,20141030224635,대림동 777-1,1,1597,신길동 699,가마산로,3000023,2.00000000,5898.00000000,3,11560,1
20100520,당산로에서 분기되는 도로로 해당 일련번호 활용,19,Dangsan-ro 46ga-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224642,당산동6가 234-2,1,1598,당산동6가 237-100,당산로46가길,4154124,2.00000000,48.00000000,4,11560,3
20100520,가마산로에서 분기되는 도로로 해당 일련번호 활용,20,Gamasan-ro 46-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224641,대림동 681-5,1,1600,대림동 676-9,가마산로46길,4154009,4.00000000,63.00000000,4,11560,3
20100520,여의대방로에서 분기되는 도로로 해당 일련번호 활용,21,Yeouidaebang-ro 39-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224649,신길동 719,1,2673,신길동 1685,여의대방로39길,4154660,4.00000000,39.00000000,4,11560,3
20100520,영등포로에서 분기되는 도로로 해당 일련번호 활용,21,Yeongdeungpo-ro 43-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224650,영등포동5가 1,0,1965,영등포동5가 143,영등포로43길,4154723,6.00000000,349.00000000,4,11560,3
20090710,디지털단지의 상징성 및 접근성,20,Digital-ro,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20090710,20141030224635,대림동 1117,1,1602,대림동 909-2,디지털로,3000026,4.00000000,4667.00000000,3,11560,1
20100520,영등포로에서 분기되는 도로로 해당 일련번호 활용,21,Yeongdeungpo-ro 13-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224650,양평동1가 165,1,840,양평동1가 116-11,영등포로13길,4154700,2.00000000,49.00000000,4,11560,3
20100520,가마산로에서 분기되는 도로로 해당 일련번호 활용,21,Gamasan-ro 80-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224641,신길동 1828,1,842,신길동 240-10,가마산로80길,4154033,4.00000000,18.00000000,4,11560,3
